ItemNo,Customer name,mobile number,company name,Product name,Material,Length,Width,Height,Thickness,Inner diameter,Outer diameter,Start Date,End Date,Quantity
21,Erin,9856235689,hero,forgings,nickel,104.87,49.73,19.94,3.5,140.1,265.6,18-01-2022,23-10-2022,3600
22,Zara,7845568956,reshmi,metal nuts,silicon,98.06,48.39,19.79,4.3,1.5,3.4,17-04-2022,20-11-2022,4200
23,Ellie,6352417898,progeasive,hydraulic cylinder,carbon steel,108.45,44.46,22.31,12.5,3.5,5.7,15-02-2022,26-12-2022,5200
24,Gracie,7548124578,gear tec,molding washer,EPDM,95.34,46.03,20.17,5.5,17.13,20.5,15-03-2022,28-11-2022,2600
25,Lyra,8965569856,cleveland,couplings,stainless steel,97.66,50.69,19.54,3.18,4.5,7.5,18-06-2022,23-10-2022,1000
26,Amber,7845987454,TVS locus,metal fastener,alloy steel,102.66,50.76,21.22,12.4,3.7,9.5,17-12-2022,14-12-2022,2500
27,Hannah,6985241242,omni ,brake band,rolled steel,95.69,49.48,17.37,6.4,80,120,19-09-2022,14-12-2022,3000
28,Clara,9874512456,nixon,Valve Body,aluminum alloy,105.88,49.53,18.7,19.06,60.24,75.43,15-01-2022,15-12-2022,2500
29,Holly,7878787784,tremec corporation,oil pan,carbon steel,101.68,52.79,19.42,2.3,40.15,45.18,19-08-2022,30-12-2022,1500
30,Lilly,8956231454,borgwarner,output shaft,carbon steel 50 C 12,93.54,51.05,19.29,40.15,20.15,40.25,16-03-2022,19-09-2022,3500
31,Noah,7894561201,ashok leyland,couplings,stainless steel,99.66,48.4,20.64,3.18,4.5,7.5,15-04-2022,18-11-2022,2000
32,brooks,7845128956, RSB,metal fastener,alloy steel,98.38,46.79,21.27,12.4,3.7,9.5,15-06-2022,18-12-2022,4000
33,joseph,9636968545,stotz,brake band,rolled steel,95.53,53.83,23.11,6.4,80,120,15-06-2022,18-12-2022,3500
34,parker,9545121425,planodrives,Valve Body,aluminum alloy,100.53,50,21.13,19.06,60.24,75.43,17-07-2022,26-10-2022,4500
35,weston,9856235689,mesh,oil pan,carbon steel,95.67,49.64,21.92,2.3,40.15,45.18,15-04-2022,27-11-2022,6500
36,austin,7845568956,hero,output shaft,carbon steel 50 C 12,101.86,50.45,18.05,40.15,20.15,40.25,30-10-2022,25-12-2022,7000
37,declan,6352417898,reshmi,gear box,powdered metals,105.22,54.61,20.64,3.14,8.44,15.23,18-01-2022,23-10-2022,3500
38,micah,7548124578,progeasive,bearing,carbon steel,101.86,49.85,19.15,50.9,6.5,17.16,17-04-2022,20-11-2022,2555
39,kayden,8965569856,gear tec,oilseals,perbunan,97.19,49.9,19.04,10.15,3.5,5.8,15-02-2022,26-12-2022,2000
40,gael,7845987454,cleveland,flywheel,chromium alloy,103,48.81,19.39,25.12,2.5,4.8,15-03-2022,28-11-2022,3500
41,river,6985241242,TVS locus,lock washers,aluminum,100.57,53.52,19.98,0.078,13.14,17.5,18-06-2022,23-10-2022,4500
42,ryder,9874512456,omni ,forgings,nickel,110.54,51.07,21.95,3.5,140.1,265.6,17-12-2022,14-12-2022,5000
43,Chester,7878787784,nixon,metal nuts,silicon,109.22,45.24,20.05,4.3,1.5,3.4,19-09-2022,14-12-2022,1500
44,Kai,8956231454,tremec corporation,hydraulic cylinder,carbon steel,92.52,49.04,19.92,12.5,3.5,5.7,15-01-2022,15-12-2022,2500
45,Rupert,7894561201,borgwarner,molding washer,EPDM,107.05,49.01,18.97,5.5,17.13,20.5,19-08-2022,30-12-2022,3500
46,Yusuf,7845128956,ashok leyland,couplings,stainless steel,106.53,48.55,19.2,3.18,4.5,7.5,16-03-2022,19-09-2022,1000
47,Harvey,9636968545, RSB,metal fastener,alloy steel,101.21,47.61,21.39,12.4,3.7,9.5,15-04-2022,18-11-2022,3500
48,Ollie,9545121425,stotz,brake band,rolled steel,101.09,48.28,20.04,6.4,80,120,15-06-2022,18-12-2022,4000
49,Jackson,9856235689,planodrives,Valve Body,aluminum alloy,95.61,46.3,20.31,19.06,60.24,75.43,15-06-2022,18-12-2022,5000
50,Tobias,7845568956,mesh,oil pan,carbon steel,104.45,48.71,19.51,2.3,40.15,45.18,17-07-2022,26-10-2022,2500
51,Nathan,6352417898,hero,output shaft,carbon steel 50 C 12,93.28,48.08,19.64,40.15,20.15,40.25,15-04-2022,27-11-2022,3000
52,Myles,7548124578,reshmi,couplings,stainless steel,107.67,52.03,20.69,3.18,4.5,7.5,30-10-2022,25-12-2022,6000
53,Mia,8965569856,progeasive,metal fastener,alloy steel,107.5,53.92,20.63,12.4,3.7,9.5,18-01-2022,23-10-2022,7500
54,Willow,7845987454,gear tec,brake band,rolled steel,100.37,54.75,22.51,6.4,80,120,17-04-2022,20-11-2022,2000
55,Rosie,6985241242,cleveland,Valve Body,aluminum alloy,99.77,51.74,19.6,19.06,60.24,75.43,15-02-2022,26-12-2022,4500
56,Sophia,9874512456,TVS locus,oil pan,carbon steel,109.26,50.4,20.46,2.3,40.15,45.18,15-03-2022,28-11-2022,6000
57,Lily,7878787784,omni ,metal nuts,silicon,110.18,51.89,21.36,4.3,1.5,3.4,18-06-2022,23-10-2022,7000
58,Emily,8956231454,nixon,output shaft,carbon steel 50 C 12,102.35,50.55,21.22,40.15,20.15,40.25,17-12-2022,14-12-2022,1500
59,Ella,7894561201,tremec corporation,gear box,powdered metals,104.35,47.09,22.03,3.14,8.44,15.23,19-09-2022,14-12-2022,2500
60,Maya,7845128956,borgwarner,bearing,carbon steel,95.62,49.79,20.78,50.9,6.5,17.16,15-01-2022,15-12-2022,3500
61,Alice,9636968545,ashok leyland,oilseals,perbunan,102.22,54.64,21.71,10.15,3.5,5.8,19-08-2022,30-12-2022,4500
62,Mila,9545121425, RSB,flywheel,chromium alloy,105,57.26,21.62,25.12,2.5,4.8,16-03-2022,19-09-2022,5500
63,Bonnie,9856235689,stotz,lock washers,aluminum,102.23,50.76,20.51,0.078,13.14,17.5,15-04-2022,18-11-2022,6000
64,Eva,7845568956,planodrives,forgings,nickel,110.72,52.54,21.06,3.5,140.1,265.6,15-06-2022,18-12-2022,5700
65,Erin,6352417898,mesh,metal nuts,silicon,94.82,48.48,21.3,4.3,1.5,3.4,15-06-2022,18-12-2022,2200
66,Zara,7548124578,hero,hydraulic cylinder,carbon steel,104.17,56.04,21.25,2.3,40.15,45.18,17-07-2022,26-10-2022,3600
67,Ellie,8965569856,reshmi,molding washer,EPDM,100.51,47.86,21.52,5.5,17.13,20.5,15-04-2022,27-11-2022,4200
68,Gracie,7845987454,progeasive,oil pan,carbon steel,112.69,50.68,20.33,2.3,40.15,45.18,30-10-2022,25-12-2022,5200
69,Lyra,6985241242,gear tec,output shaft,carbon steel 50 C 12,111.83,53.31,20.12,40.15,20.15,40.25,18-01-2022,23-10-2022,2600
70,Amber,9874512456,cleveland,couplings,stainless steel,103.73,58.26,20.37,3.18,4.5,7.5,17-04-2022,20-11-2022,1000
71,Hannah,7878787784,TVS locus,metal fastener,alloy steel,99.31,51.24,19.8,6.4,80,120,15-02-2022,26-12-2022,2500
72,Clara,8956231454,omni ,brake band,rolled steel,109.87,52.23,20.94,6.4,80,120,15-03-2022,28-11-2022,3000
73,Holly,7894561201,nixon,Valve Body,aluminum alloy,103.06,50.89,20.79,19.06,60.24,75.43,18-06-2022,23-10-2022,2500
74,Lilly,7845128956,tremec corporation,oil pan,carbon steel,113.45,46.96,23.31,2.3,40.15,45.18,17-12-2022,14-12-2022,1500
75,Noah,9636968545,borgwarner,output shaft,carbon steel 50 C 12,100.34,48.53,21.17,40.15,20.15,40.25,19-09-2022,14-12-2022,3500
76,Oliver,9545121425,ashok leyland,gear box,powdered metals,102.66,53.19,20.54,3.14,8.44,15.23,15-01-2022,15-12-2022,2000
77,George,9856235689, RSB,bearing,carbon steel,104.17,47.09,19.51,50.9,6.5,17.16,19-08-2022,30-12-2022,4000
78,Arthur,7845568956,stotz,oilseals,perbunan,100.51,51.24,21.17,10.15,3.5,5.8,16-03-2022,19-09-2022,3500
79,Leo,6352417898,planodrives,flywheel,chromium alloy,100.37,48.53,21.39,25.12,2.5,4.8,15-04-2022,18-11-2022,4500
80,Harry,7548124578,mesh,lock washers,aluminum,98.38,54.76,20.64,0.078,13.14,17.5,15-06-2022,18-12-2022,6500
81,Oscar,8965569856,hero,forgings,nickel,102.67,49.53,19.69,3.5,140.1,265.6,15-06-2022,18-12-2022,7000
82,Archie,7845987454,reshmi,metal nuts,silicon,92.19,47.4,18.04,4.3,1.5,3.4,17-07-2022,26-10-2022,3500
83,Henry,6985241242,progeasive,hydraulic cylinder,carbon steel,98,46.31,18.39,2.3,40.15,45.18,15-04-2022,27-11-2022,2555
84,Freddie,9874512456,gear tec,gear box,powdered metals,95.57,51.02,18.98,3.14,8.44,15.23,30-10-2022,25-12-2022,2000
85,Jack,7878787784,cleveland,bearing,carbon steel,105.54,48.57,20.95,50.9,6.5,17.16,18-01-2022,23-10-2022,3500
86,Charlie,8956231454,TVS locus,oilseals,perbunan,104.22,42.74,19.05,10.15,3.5,5.8,17-04-2022,20-11-2022,4500
87,Theo,7894561201,omni ,flywheel,chromium alloy,87.52,46.54,18.92,25.12,2.5,4.8,15-02-2022,26-12-2022,5000
88,Alfie,7845128956,nixon,lock washers,aluminum,102.05,46.51,17.97,0.078,13.14,17.5,15-03-2022,28-11-2022,1500
89,finley,9636968545,tremec corporation,forgings,nickel,101.53,46.05,18.2,3.5,140.1,265.6,18-06-2022,23-10-2022,2500
90,William,9545121425,borgwarner,metal nuts,silicon,96.21,45.11,20.39,4.3,1.5,3.4,17-12-2022,14-12-2022,3500
91,Lucas,9856235689,ashok leyland,hydraulic cylinder,carbon steel,96.09,45.78,19.04,2.3,40.15,45.18,19-09-2022,14-12-2022,3500
92,Roman,7845568956, RSB,molding washer,EPDM,90.61,43.8,19.31,5.5,17.13,20.5,15-01-2022,15-12-2022,2000
93,Tommy,6352417898,stotz,oil pan,carbon steel,99.45,46.21,18.51,2.3,40.15,45.18,19-08-2022,30-12-2022,4000
94,Isaac,7548124578,planodrives,output shaft,carbon steel 50 C 12,88.28,45.58,18.64,40.15,20.15,40.25,16-03-2022,19-09-2022,3500
95,Teddy,8965569856,mesh,flywheel,chromium alloy,102.67,49.53,19.69,25.12,2.5,4.8,15-04-2022,18-11-2022,4500
96,James,7845987454,hero,lock washers,aluminum,102.5,51.42,19.63,0.078,13.14,17.5,15-06-2022,18-12-2022,6500
97,Joshua,6985241242,reshmi,forgings,nickel,95.37,52.25,21.51,3.5,140.1,265.6,15-06-2022,18-12-2022,7000
98,Albie,9874512456,progeasive,metal nuts,silicon,94.77,49.24,18.6,4.3,1.5,3.4,17-07-2022,26-10-2022,3500
99,Max,7878787784,gear tec,hydraulic cylinder,carbon steel,104.26,47.9,19.46,2.3,40.15,45.18,15-04-2022,27-11-2022,2555
100,Mohammed,8956231454,cleveland,gear box,powdered metals,105.18,49.39,20.36,3.14,8.44,15.23,30-10-2022,25-12-2022,2000
101,Mason,7894561201,TVS locus,bearing,carbon steel,97.35,48.05,20.22,50.9,6.5,17.16,18-01-2022,23-10-2022,3500
102,Rory,7845128956,omni ,oilseals,perbunan,108.2,52.15,20.91,10.15,3.5,5.8,17-04-2022,20-11-2022,4500
103,Jude,9636968545,nixon,flywheel,chromium alloy,97.72,50.02,19.26,25.12,2.5,4.8,15-02-2022,26-12-2022,5000
104,Louis,9545121425,tremec corporation,lock washers,aluminum,103.53,48.93,19.61,0.078,13.14,17.5,15-03-2022,28-11-2022,1500
105,Henry,9856235689,borgwarner,forgings,nickel,101.1,53.64,20.2,3.5,140.1,265.6,18-06-2022,23-10-2022,2500
106,jack,7845568956,ashok leyland,oilseals,perbunan,111.07,51.19,22.17,10.15,3.5,5.8,17-12-2022,14-12-2022,3500
107,levi,6352417898, RSB,flywheel,chromium alloy,109.75,45.36,20.27,25.12,2.5,4.8,19-09-2022,14-12-2022,1000
108,alexander,7548124578,stotz,lock washers,aluminum,93.05,49.16,20.14,0.078,13.14,17.5,15-01-2022,15-12-2022,3500
109,william,8965569856,planodrives,forgings,nickel,107.58,49.13,19.19,3.5,140.1,265.6,19-08-2022,30-12-2022,4000
110,noah,7845987454,mesh,metal nuts,silicon,107.06,48.67,19.42,4.3,1.5,3.4,16-03-2022,19-09-2022,5000
111,liam,6985241242,hero,hydraulic cylinder,carbon steel,101.74,47.73,21.61,2.3,40.15,45.18,15-04-2022,18-11-2022,2500
112,jackson,9874512456,reshmi,molding washer,EPDM,101.62,48.4,20.26,5.5,17.13,20.5,15-06-2022,18-12-2022,3000
113,daniel,7878787784,progeasive,couplings,stainless steel,96.14,46.42,20.53,3.18,4.5,7.5,15-06-2022,18-12-2022,6000
114,michael,8956231454,gear tec,metal fastener,alloy steel,104.98,48.83,19.73,6.4,80,120,17-07-2022,26-10-2022,7500
115,mason,7894561201,cleveland,brake band,rolled steel,93.81,48.2,19.86,6.4,80,120,15-04-2022,27-11-2022,2000
116,logan,7845128956,TVS locus,Valve Body,aluminum alloy,108.2,52.15,20.91,19.06,60.24,75.43,30-10-2022,25-12-2022,4500
117,johan,9636968545,omni ,oil pan,carbon steel,108.03,54.04,20.85,2.3,40.15,45.18,18-01-2022,23-10-2022,6000
118,joseph,9545121425,nixon,forgings,nickel,100.9,54.87,22.73,3.5,140.1,265.6,17-04-2022,20-11-2022,7000
119,david,9856235689,tremec corporation,metal nuts,silicon,100.3,51.86,19.82,4.3,1.5,3.4,15-02-2022,26-12-2022,1500
120,luke,7845568956,borgwarner,hydraulic cylinder,carbon steel,109.79,50.52,20.68,2.3,40.15,45.18,15-03-2022,28-11-2022,2500
121,julian,6352417898,ashok leyland,molding washer,EPDM,110.71,52.01,21.58,5.5,17.13,20.5,18-06-2022,23-10-2022,3500
122,hudson,7548124578, RSB,oil pan,carbon steel,102.88,50.67,21.44,2.3,40.15,45.18,17-12-2022,14-12-2022,2200
123,Ezra,8965569856,stotz,output shaft,carbon steel 50 C 12,113.73,54.77,22.13,40.15,20.15,40.25,19-09-2022,14-12-2022,3600
124,luca,7845987454,planodrives,flywheel,chromium alloy,103.25,52.64,20.48,25.12,2.5,4.8,15-01-2022,15-12-2022,4200
125,dylan,6985241242,mesh,lock washers,aluminum,109.06,51.55,20.83,0.078,13.14,17.5,19-08-2022,30-12-2022,5200
126,Erin,9874512456,hero,forgings,nickel,106.63,56.26,21.42,3.5,140.1,265.6,16-03-2022,19-09-2022,2600
127,Zara,7878787784,reshmi,metal nuts,silicon,116.6,53.81,23.39,4.3,1.5,3.4,15-04-2022,18-11-2022,1000
128,Ellie,8956231454,progeasive,hydraulic cylinder,carbon steel,115.28,47.98,21.49,2.3,40.15,45.18,15-06-2022,18-12-2022,2500
129,Gracie,7894561201,gear tec,gear box,powdered metals,98.58,51.78,21.36,3.14,8.44,15.23,15-06-2022,18-12-2022,3000
130,Lyra,7845128956,cleveland,bearing,carbon steel,113.11,51.75,20.41,50.9,6.5,17.16,17-07-2022,26-10-2022,2500
131,Amber,9636968545,TVS locus,oilseals,perbunan,112.59,51.29,20.64,10.15,3.5,5.8,15-04-2022,27-11-2022,1500
132,Hannah,9545121425,omni ,flywheel,chromium alloy,107.27,50.35,22.83,25.12,2.5,4.8,30-10-2022,25-12-2022,3500
133,Clara,9856235689,nixon,lock washers,aluminum,107.15,51.02,21.48,0.078,13.14,17.5,18-01-2022,23-10-2022,2000
134,Holly,7845568956,tremec corporation,hydraulic cylinder,carbon steel,101.67,49.04,21.75,2.3,40.15,45.18,17-04-2022,20-11-2022,4000
135,Lilly,6352417898,borgwarner,gear box,powdered metals,100.23,50.03,20.02,3.14,8.44,15.23,15-02-2022,26-12-2022,3500
136,Noah,7548124578,ashok leyland,bearing,carbon steel,100.08,48.8,20.45,50.9,6.5,17.16,15-03-2022,28-11-2022,4500
137,brooks,8965569856, RSB,oilseals,perbunan,100.67,48.35,20.16,10.15,3.5,5.8,18-06-2022,23-10-2022,6500
138,joseph,7845987454,stotz,flywheel,chromium alloy,99.49,48.44,20.68,25.12,2.5,4.8,17-12-2022,14-12-2022,7000
139,parker,6985241242,planodrives,lock washers,aluminum,99.79,49.88,20.79,0.078,13.14,17.5,19-09-2022,14-12-2022,3500
140,weston,9874512456,mesh,forgings,nickel,99.66,49.72,20.3,3.5,140.1,265.6,15-01-2022,15-12-2022,2555
141,austin,7878787784,hero,oilseals,perbunan,100.08,50.55,20.02,10.15,3.5,5.8,19-08-2022,30-12-2022,2000
142,declan,8956231454,reshmi,flywheel,chromium alloy,101.14,50.16,20.28,25.12,2.5,4.8,16-03-2022,19-09-2022,3500
143,micah,7894561201,progeasive,lock washers,aluminum,101.59,49.66,20.23,0.078,13.14,17.5,15-04-2022,18-11-2022,4500
144,kayden,7845128956,gear tec,forgings,nickel,100.58,48.99,20.32,3.5,140.1,265.6,15-06-2022,18-12-2022,5000
145,gael,9636968545,cleveland,metal nuts,silicon,100.65,48.19,20.81,4.3,1.5,3.4,15-06-2022,18-12-2022,1500
146,river,9545121425,TVS locus,hydraulic cylinder,carbon steel,100.49,48.36,20.27,2.3,40.15,45.18,17-07-2022,26-10-2022,2500
147,ryder,9856235689,omni ,molding washer,EPDM,99.99,48.87,20.38,5.5,17.13,20.5,15-04-2022,27-11-2022,3500
148,Chester,7845568956,nixon,couplings,stainless steel,99.53,48.55,20.71,3.18,4.5,7.5,30-10-2022,25-12-2022,3500
149,Kai,6352417898,tremec corporation,metal fastener,alloy steel,100.98,48.74,20.96,6.4,80,120,18-01-2022,23-10-2022,1000
150,Rupert,7548124578,borgwarner,metal nuts,silicon,100.61,49.69,20.98,4.3,1.5,3.4,17-04-2022,20-11-2022,3500
151,Yusuf,8965569856,ashok leyland,hydraulic cylinder,carbon steel,99.53,48.54,20.21,2.3,40.15,45.18,15-02-2022,26-12-2022,4000
152,Harvey,7845987454, RSB,molding washer,EPDM,99.08,48.88,20.43,5.5,17.13,20.5,15-03-2022,28-11-2022,5000
153,Ollie,6985241242,stotz,oil pan,carbon steel,96.38,48.45,19.51,2.3,40.15,45.18,18-06-2022,23-10-2022,2500
154,Jackson,9874512456,planodrives,output shaft,carbon steel 50 C 12,98.27,52.28,20.24,40.15,20.15,40.25,17-12-2022,14-12-2022,3000
155,Tobias,7878787784,mesh,flywheel,chromium alloy,99.07,52.07,19.08,25.12,2.5,4.8,19-09-2022,14-12-2022,6000
156,Nathan,8956231454,hero,lock washers,aluminum,95.72,48.36,19.58,0.078,13.14,17.5,15-01-2022,15-12-2022,7500
157,Myles,7894561201,reshmi,forgings,nickel,99.65,52.61,18.66,3.5,140.1,265.6,19-08-2022,30-12-2022,2000
158,Mia,7845128956,progeasive,metal nuts,silicon,102.3,47.13,21.19,4.3,1.5,3.4,16-03-2022,19-09-2022,4500
159,Willow,9636968545,gear tec,hydraulic cylinder,carbon steel,94.47,50.04,20.76,3.14,8.44,15.23,15-04-2022,18-11-2022,6000
160,Rosie,9545121425,cleveland,gear box,powdered metals,98.32,48.32,21.43,3.14,8.44,15.23,15-06-2022,18-12-2022,7000
161,Sophia,9856235689,TVS locus,gear box,powdered metals,98.68,51.72,19.29,2.3,40.15,45.18,15-06-2022,18-12-2022,1500
162,Lily,7845568956,omni ,bearing,carbon steel,95.02,52.87,21.98,50.9,6.5,17.16,17-07-2022,26-10-2022,2500
163,Emily,6352417898,nixon,oilseals,perbunan,101.41,51.4,21.32,10.15,3.5,5.8,15-04-2022,27-11-2022,3500
164,Ella,7548124578,tremec corporation,flywheel,chromium alloy,95.32,50.53,19.2,25.12,2.5,4.8,30-10-2022,25-12-2022,4500
165,Maya,8965569856,borgwarner,lock washers,aluminum,99.11,48.15,19.87,0.078,13.14,17.5,18-01-2022,23-10-2022,5500
166,waylon,7845987454,ashok leyland,forgings,nickel,94.52,51.11,18.63,3.5,140.1,265.6,17-04-2022,20-11-2022,6000
167,colton,6985241242, RSB,metal nuts,silicon,102.7,47.06,21.06,4.3,1.5,3.4,15-02-2022,26-12-2022,5700
168,brooks,9874512456,stotz,hydraulic cylinder,carbon steel,98.62,49.4,19.75,2.3,40.15,45.18,15-03-2022,28-11-2022,2200
169,joseph,7878787784,planodrives,molding washer,EPDM,101.05,50.61,19.44,5.5,17.13,20.5,18-06-2022,23-10-2022,3600
170,parker,8956231454,mesh,oil pan,carbon steel,97,51.93,18.61,2.3,40.15,45.18,17-12-2022,14-12-2022,4200
171,weston,7894561201,hero,output shaft,carbon steel 50 C 12,100.5,50,19,40.15,20.15,40.25,19-09-2022,14-12-2022,5200
172,austin,7845128956,reshmi,flywheel,chromium alloy,98.51,49.94,20.6,25.12,2.5,4.8,15-01-2022,15-12-2022,2600
173,declan,9636968545,progeasive,lock washers,aluminum,95.33,47.09,21.47,0.078,13.14,17.5,19-08-2022,30-12-2022,1000
174,micah,9545121425,gear tec,forgings,nickel,97.65,51.93,21.66,3.5,140.1,265.6,16-03-2022,19-09-2022,2500
175,kayden,9856235689,cleveland,metal nuts,silicon,100.03,52.76,20.45,4.3,1.5,3.4,15-04-2022,18-11-2022,3000
176,gael,7845568956,TVS locus,hydraulic cylinder,carbon steel,96.89,50.69,20.42,3.14,8.44,15.23,15-06-2022,18-12-2022,2500
177,river,6352417898,omni ,oil pan,carbon steel,95.55,47.13,21.1,40.15,20.15,40.25,15-06-2022,18-12-2022,1500
178,ryder,7548124578,nixon,output shaft,carbon steel 50 C 12,97.13,49.06,21.21,40.15,20.15,40.25,17-07-2022,26-10-2022,3500
179,kingston,8965569856,tremec corporation,gear box,powdered metals,96.4,47.71,18.72,3.14,8.44,15.23,15-04-2022,27-11-2022,2000
180,sawyer,7845987454,borgwarner,bearing,carbon steel,94.33,48.89,20.2,50.9,6.5,17.16,30-10-2022,25-12-2022,4000
181,evan,6985241242,ashok leyland,oilseals,perbunan,98.95,50.45,18.64,10.15,3.5,5.8,18-01-2022,23-10-2022,3500
182,amir,9874512456, RSB,flywheel,chromium alloy,94.64,47.1,21.63,25.12,2.5,4.8,17-04-2022,20-11-2022,4500
183,jasper,7878787784,stotz,lock washers,aluminum,100.44,50.84,20.57,0.078,13.14,17.5,15-02-2022,26-12-2022,6500
184,luis,8956231454,planodrives,forgings,nickel,102.13,52.5,19.3,3.5,140.1,265.6,15-03-2022,28-11-2022,7000
185,archer,7894561201,mesh,metal nuts,silicon,103.63,50.62,20,4.3,1.5,3.4,18-06-2022,23-10-2022,3500
186,atlas,7845128956,hero,hydraulic cylinder,carbon steel,100.65,52.62,19.32,2.3,40.15,45.18,17-12-2022,14-12-2022,2555
187,jude,9636968545,reshmi,gear box,powdered metals,96.66,50.58,21.63,2.3,40.15,45.18,19-09-2022,14-12-2022,2000
188,ace,9545121425,progeasive,bearing,carbon steel,102.78,52.22,21.71,50.9,6.5,17.16,15-01-2022,15-12-2022,3500
189,tyler,9856235689,gear tec,oilseals,perbunan,97.79,47.34,20.73,10.15,3.5,5.8,19-08-2022,30-12-2022,3500
190,dean,7845568956,cleveland,flywheel,chromium alloy,100.26,51.19,18.55,25.12,2.5,4.8,16-03-2022,19-09-2022,2000
191,matteo,6352417898,TVS locus,lock washers,aluminum,102.45,48.01,18.7,0.078,13.14,17.5,15-04-2022,18-11-2022,4000
192,juan,7548124578,omni ,forgings,nickel,103.24,51.5,21.02,3.5,140.1,265.6,15-06-2022,18-12-2022,3500
193,gavin,8965569856,nixon,forgings,nickel,100.81,50.17,20.08,3.5,140.1,265.6,15-06-2022,18-12-2022,4500
194,hayden,7845987454,tremec corporation,metal nuts,silicon,99.77,50.97,20.08,3.14,8.44,15.23,17-07-2022,26-10-2022,6500
195,justin,6985241242,borgwarner,hydraulic cylinder,carbon steel,100.76,49.91,20.97,40.15,20.15,40.25,15-04-2022,27-11-2022,7000
196,tucker,9874512456,ashok leyland,molding washer,EPDM,95.49,51.51,19.12,5.5,17.13,20.5,30-10-2022,25-12-2022,3500
197,brandon,7878787784, RSB,couplings,stainless steel,103.01,50.76,20.57,3.18,4.5,7.5,18-01-2022,23-10-2022,2555
198,kevin,8956231454,stotz,metal fastener,alloy steel,99.55,48.08,19.28,6.4,80,120,17-04-2022,20-11-2022,2000
199,xander,7894561201,planodrives,metal nuts,silicon,101.83,50.46,18.79,4.3,1.5,3.4,15-02-2022,26-12-2022,3500
200,arlo,7845128956,mesh,hydraulic cylinder,carbon steel,101.82,49.56,21.7,2.3,40.15,45.18,15-03-2022,28-11-2022,4500
201,felix,9636968545,hero,molding washer,EPDM,101.47,50.82,18.79,5.5,17.13,20.5,18-06-2022,23-10-2022,5000
202,amari,9545121425,reshmi,oil pan,carbon steel,99.86,48.4,19,2.3,40.15,45.18,17-12-2022,14-12-2022,1500
203,jesse,9856235689,progeasive,output shaft,carbon steel 50 C 12,100.67,51.11,21.56,40.15,20.15,40.25,19-09-2022,14-12-2022,2500
204,peter,7845568956,gear tec,flywheel,chromium alloy,101.12,47.64,21.4,25.12,2.5,4.8,15-01-2022,15-12-2022,3500
